last_name,pval,lds
Amundson,0.02260775532287056,10.046110375908631
Anderson,0.032288485475015345,2.6664081369552206
Bakehouse,0.0026086992388082903,6.925670891223816
Bardole,0.03283557972733464,14.967123593694396
Bennett,0.09002961186399717,2.859910936097222
Borchardt,0.0074113677696305,17.608839690680256
Boyer,0.8649224093728123,20.776229051097605
Deal,0.001463242631818316,8.280448595340486
Dooley,1.2595305890275858e-5,5.327195873482361
Frederick,0.5569877584499037,22.033889104029456
Fredericks,7.783412275426523e-7,4.589829278765985
Harvey,7.802358463897014e-5,12.644754674336154
Prevo,0.023470346249319495,16.379922918131946
Sieren,0.7808004638362094,8.38459252380994
Veenstra_1,7.735575050959501e-4,12.182311441710826
Veenstra_2,0.47137271079377363,21.896638893004063
Waldo,0.9259438746889451,16.558599108058562
